KO	Function Category Level 4	Gene Count
K02151	ATPeVF, ATP6S14; V-type H+-transporting ATPase subunit F [EC:3.6.3.14]	0
K02150	ATPeVE, ATP6E; V-type H+-transporting ATPase subunit E [EC:3.6.3.14]	0
K06751	MHC1; major histocompatibility complex, class I	0
K06752	MHC2; major histocompatibility complex, class II	0
K09481	SEC61B, SBH2; protein transport protein SEC61 subunit beta	0
K06513	FCAR, CD89; CD89 antigen	0
K08488	STX7; syntaxin 7	0
K07374	TUBA; tubulin alpha	0
K07375	TUBB; tubulin beta	0
K08009	CYBA, P22PHOX; cytochrome b-245, alpha polypeptide	0
K08008	NOX, GP91; NADPH oxidase	0
K10066	COLEC11; collectin sub-family member 11	0
K10067	SFTPA; surfactant, pulmonary-associated protein A	0
K10062	COLEC12; collectin sub-family member 12	0
K05692	ACTB_G1; actin beta/gamma 1	0
K10068	SFTPD, SFTP4; surfactant, pulmonary-associated protein D	0
K06472	FCGR2A, CD32; low affinity immunoglobulin gamma Fc region receptor II-a	0
K06563	CD209; CD209 antigen	0
K06560	MRC; mannose receptor, C type	0
K03990	C3; complement component 3	0
K03991	MBL; mannose-binding lectin	0
K10074	CLEC7A; C-type lectin domain family 7, member A	0
K00914	PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]	0
K07888	RAB5B; Ras-related protein Rab-5B	0
K07889	RAB5C; Ras-related protein Rab-5C	0
K07887	RAB5A; Ras-related protein Rab-5A	0
K06463	FCGR3, CD16; low affinity immunoglobulin gamma Fc region receptor III	0
K06461	ITGAM; integrin alpha M	0
K06464	ITGB2; integrin beta 2	0
K10413	DYNC1H; dynein heavy chain 1, cytosolic	0
K13883	RILP; Rab-interacting lysosomal protein	0
K13882	CORO1A; coronin-1A	0
K10089	M6PR; cation-dependent mannose-6-phosphate receptor	0
K03662	ATPeVS1, ATP6S1; V-type H+-transporting ATPase S1 subunit [EC:3.6.3.14]	0
K03661	ATPeVPF, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit [EC:3.6.3.14]	0
K10169	TLR6; toll-like receptor 6	0
K07898	RAB7B; Ras-related protein Rab-7B	0
K13813	STX12, STX13; syntaxin 12/13	0
K08517	SEC22; vesicle transport protein SEC22	0
K10160	TLR4; toll-like receptor 4	0
K07897	RAB7A; Ras-related protein Rab-7A	0
K08054	CANX; calnexin	0
K08057	CALR; calreticulin	0
K06498	FCGR1A, CD64; high affinity immunoglobulin gamma Fc receptor I	0
K00921	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	0
K06493	ITGB3; integrin beta 3	0
K13240	NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]	0
K06487	ITGAV; integrin alpha V	0
K06259	CD36; CD36 antigen	0
K10159	TLR2; toll-like receptor 2	0
K12478	EEA1; early endosome antigen 1	0
K06484	ITGA5; integrin alpha 5	0
K10956	SEC61A; protein transport protein SEC61 subunit alpha	0
K06481	ITGA2; integrin alpha 2	0
K06558	MSR1; macrophage scavenger receptor 1	0
K01330	C1R; complement component 1, r subcomponent [EC:3.4.21.41]	0
K10789	MPO; myeloperoxidase [EC:1.11.1.7]	0
K08763	OLR1; oxidised low-density lipoprotein receptor 1	0
K06528	LAMP1_2, CD107; lysosomal-associated membrane protein 1/2	0
K13885	SCARB1; scavenger receptor class B, member 1	0
K13884	MARCO; macrophage receptor with collagenous structure	0
K10415	DYNC1I, DNCI; dynein intermediate chain, cytosolic	0
K10414	DYNC2H, DNCH2; dynein heavy chain 2, cytosolic	0
K10416	DYNC1LI, DNCLI; dynein light intermediate chain 1, cytosolic	0
K13505	VAMP3; vesicle-associated membrane protein 3	0
K04392	RAC1; Ras-related C3 botulinum toxin substrate 1	0
K04391	CD14; CD14 antigen	0
K06503	TFRC, CD71; transferrin receptor	0
K05719	ITGB1; integrin beta 1	0
K05654	ABCB3, TAP2; ATP-binding cassette, subfamily B (MDR/TAP), member 3	0
K12560	FCGR2B, CD32; low affinity immunoglobulin gamma Fc region receptor II-b	0
K05653	ABCB2, TAP1; ATP-binding cassette, subfamily B (MDR/TAP), member 2	0
K06856	IGH; immunoglobulin heavy chain	0
K02144	ATPeV54kD; V-type H+-transporting ATPase 54 kD subunit [EC:3.6.3.14]	0
K02145	ATPeVA, ATP6A1; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	4
K02146	ATPeVAC39, ATP6D; V-type H+-transporting ATPase subunit AC39 [EC:3.6.3.14]	0
K02147	ATPeVB, ATP6B1; V-type H+-transporting ATPase subunit B [EC:3.6.3.14]	5
K02148	ATPeVC, ATP6C; V-type H+-transporting ATPase subunit C [EC:3.6.3.14]	0
K02149	ATPeVD, ATP6M; V-type H+-transporting ATPase subunit D [EC:3.6.3.14]	0
K12182	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	0
K08492	STX18; syntaxin 18	0
K04659	THBS; thrombospondin	0
K07342	SEC61G, SSS1, secE; protein transport protein SEC61 subunit gamma and related proteins	0
K08010	NCF2, P67PHOX; neutrophil cytosolic factor 2	0
K08011	NCF1, P47PHOX; neutrophil cytosolic factor 1	0
K08012	NCF4, P40PHOX; neutrophil cytosolic factor 4	0
K06588	ITGB5; integrin beta 5	0
K00659	BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]	0
K13273	PMVK; phosphomevalonate kinase [EC:2.7.4.2]	0
K10214	ACOX2; 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase [EC:1.17.99.3]	0
K11517	HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]	0
K00106	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	1
K11147	DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-]	0
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	2
K03781	katE, CAT; catalase [EC:1.11.1.6]	0
K00272	DDO; D-aspartate oxidase [EC:1.4.3.1]	0
K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	5
K00624	E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]	0
K05677	ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3	0
K05676	ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2	0
K05675	ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1	0
K11187	PRDX5; peroxiredoxin 5, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]	1
K00649	GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]	0
K04565	E1.15.1.1C, sodC, SOD1; Cu/Zn superoxide dismutase [EC:1.15.1.1]	0
K11992	ACOT8, PTE; acyl-CoA thioesterase 8 [EC:3.1.2.27]	0
K00308	PAOX; N1-acetylpolyamine oxidase [EC:1.5.3.13]	0
K13279	PRDX1; peroxiredoxin 1 [EC:1.11.1.15]	0
K05678	ABCD4, PXMP1L; ATP-binding cassette, subfamily D (ALD), member 4	0
K13348	MPV17; protein Mpv17	0
K13349	MPV17L; Mpv17-like protein	0
K04564	E1.15.1.1A, sodA, sodB, SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	17
K01578	E4.1.1.9, MLYCD; malonyl-CoA decarboxylase [EC:4.1.1.9]	0
K12261	HACL1; 2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]	0
K13340	PEX26; peroxin-26	0
K13341	PEX7, PTS2R; peroxin-7	0
K13342	PEX5, PXR1; peroxin-5	0
K13343	PEX14; peroxin-14	0
K13344	PEX13; peroxin-13	0
K13345	PEX12, PAF3; peroxin-12	0
K13346	PEX10; peroxin-10	0
K13347	PXMP2, PMP22; peroxisomal membrane protein 2	0
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	16
K12405	HSD17B4; 3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase [EC:1.1.1.35 4.2.1.107]	1
K13299	GSTK1; glutathione S-transferase kappa 1 [EC:2.5.1.18]	0
K12663	ECH1; delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-]	4
K13351	PEX11A; peroxin-11A	0
K13237	DECR2; peroxisomal 2,4-dienoyl-CoA reductase [EC:1.3.1.34]	0
K01796	E5.1.99.4, AMACR, mcr; alpha-methylacyl-CoA racemase [EC:5.1.99.4]	4
K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]	1
K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	11
K08746	SLC27A2, FACVL1, FATP2; solute carrier family 27 (fatty acid transporter), member 2 [EC:6.2.1.- 6.2.1.3]	0
K07753	PECR; peroxisomal trans-2-enoyl-CoA reductase [EC:1.3.1.38]	0
K00273	E1.4.3.3, DAO; D-amino-acid oxidase [EC:1.4.3.3]	0
K13353	PEX11C; peroxin-11C	0
K00803	E2.5.1.26, AGPS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	0
K13352	PEX11B; peroxin-11B	0
K08726	EPHX2; soluble epoxide hydrolase [EC:3.3.2.10]	1
K13356	FAR; fatty acyl-CoA reductase [EC:1.2.1.-]	0
K13355	NUDT19; nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]	0
K13354	SLC25A17, PMP34; solute carrier family 25 member 17	0
K13335	PEX16; peroxin-16	0
K06664	PEX2, PXMP3; peroxin-2	0
K13337	PEX19; peroxin-19	0
K13336	PEX3; peroxin-3	0
K13339	PEX6, PXAAA1; peroxin-6	0
K13338	PEX1; peroxin-1	0
K00306	PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	0
K13350	PXMP4, PMP24; peroxisomal membrane protein 4	0
K08764	SCP2, SCPX; sterol carrier protein 2 [EC:2.3.1.176]	2
K00477	E1.14.11.18, PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]	0
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	0
K13239	PECI; peroxisomal 3,2-trans-enoyl-CoA isomerase [EC:5.3.3.8]	0
K05940	CROT; carnitine O-octanoyltransferase [EC:2.3.1.137]	0
K13241	NOS2; nitric-oxide synthase, inducible [EC:1.14.13.39]	0
K03426	E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]	0
K07513	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	0
K07514	EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]	0
K08340	ATG16; autophagy-related protein 16	0
K04687	IFNG; interferon gamma	0
K08332	VAC8; vacuolar protein 8	0
K08343	ATG3; autophagy-related protein 3	0
K04526	INS; insulin	0
K08338	ATG10; autophagy-related protein 10	0
K08341	GABARAP, ATG8, LC3; GABA(A) receptor-associated protein (autophagy-related protein 8)	0
K08342	ATG4; autophagy-related protein 4 [EC:3.4.22.-]	0
K08339	ATG5; autophagy-related protein 5	0
K00914	PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]	0
K08269	ULK, ATG1; unc51-like kinase [EC:2.7.11.1]	0
K08329	ATG17; autophagy-related protein 17	0
K07198	PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]	0
K08331	ATG13; autophagy-related protein 13	0
K08330	ATG11; autophagy-related protein 11	0
K08333	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4, p150 [EC:2.7.11.1]	0
K05414	IFNA; interferon alpha	0
K08335	ATG14; autophagy-related protein 14	0
K08334	BECN1, VPS30, ATG6; beclin 1	0
K08337	ATG7; autophagy-related protein 7	0
K08336	ATG12; autophagy-related protein 12	0
K01369	LGMN; legumain [EC:3.4.22.34]	0
K01368	CTSS; cathepsin S [EC:3.4.22.27]	0
K01365	CTSL; cathepsin L [EC:3.4.22.15]	0
K01366	CTSH; cathepsin H [EC:3.4.22.16]	0
K01363	CTSB; cathepsin B [EC:3.4.22.1]	0
K01444	E3.5.1.26; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]	0
K02155	ATPeVPL, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit [EC:3.6.3.14]	0
K02154	ATPeVI, ATP6N1A; V-type H+-transporting ATPase subunit I [EC:3.6.3.14]	0
K08568	CTSZ; cathepsin X [EC:3.4.18.1]	0
K08569	CTSW; cathepsin W [EC:3.4.22.-]	0
K04645	CLTB, LCB; clathrin light chain B	0
K04644	CLTA, LCA; clathrin light chain A	0
K04646	CLTC; clathrin heavy chain	0
K08565	NAPSA; napsin-A [EC:3.4.23.-]	0
K12347	SLC11A, NRAMP; natural resistance-associated macrophage protein	0
K01275	CTSC; cathepsin C [EC:3.4.14.1]	0
K01279	TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]	0
K12348	ASAH1; acid ceramidase [EC:3.5.1.23]	0
K12404	GGA; ADP-ribosylation factor-binding protein GGA	0
K12400	AP4E1; AP-4 complex subunit epsilon-1	0
K12401	AP4B1; AP-4 complex subunit beta-1	0
K12402	AP4M1; AP-4 complex subunit mu-1	0
K12403	AP4S1; AP-4 complex subunit sigma-1	0
K01192	E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]	0
K01195	E3.2.1.31, GUSB, uidA; beta-glucuronidase [EC:3.2.1.31]	0
K01202	GALC; galactosylceramidase [EC:3.2.1.46]	0
K01052	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	0
K01201	E3.2.1.45, GBA, srfJ; glucosylceramidase [EC:3.2.1.45]	0
K01204	NAGA; alpha-N-acetylgalactosaminidase [EC:3.2.1.49]	0
K01205	NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]	0
K06564	IGF2R; insulin-like growth factor 2 receptor	0
K06562	LAMP3; lysosomal-associated membrane protein 3	0
K01565	SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]	4
K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	0
K12395	AP1S3; AP-1 complex subunit sigma-3	0
K12396	AP3D1; AP-3 complex subunit delta-1	0
K12397	AP3B; AP-3 complex subunit beta	0
K12390	CLN5; ceroid-lipofuscinosis neuronal protein 5	0
K12391	AP1G1; AP-1 complex subunit gamma-1	0
K12392	AP1B1; AP-1 complex subunit beta-1	0
K12393	AP1M; AP-1 complex subunit mu	0
K12398	AP3M; AP-3 complex subunit mu	0
K12399	AP3S; AP-3 complex subunit sigma	0
K09599	CTSP; cathepsin P [EC:3.4.22.-]	0
K01186	NEU1; sialidase-1 [EC:3.2.1.18]	2
K01189	GLA; alpha-galactosidase [EC:3.2.1.22]	0
K12384	SCARB2, LIMP2, CD36L2; lysosome membrane protein 2	0
K01217	IDUA; L-iduronidase [EC:3.2.1.76]	0
K12383	GM2A; ganglioside GM2 activator	0
K12382	PSAP, SGP1; saposin	0
K12381	ARSG; arylsulfatase G [EC:3.1.6.-]	0
K03661	ATPeVPF, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit [EC:3.6.3.14]	0
K12387	LAPTM; lysosomal-associated transmembrane protein	0
K12386	CTNS; cystinosin	0
K12385	NPC1; Niemann-Pick C1 protein	0
K10089	M6PR; cation-dependent mannose-6-phosphate receptor	0
K03662	ATPeVS1, ATP6S1; V-type H+-transporting ATPase S1 subunit [EC:3.6.3.14]	0
K10087	GNPTG, GNPTAG; N-acetylglucosamine-1-phosphate transferase, gamma subunit	0
K12389	BTS, CLN3; battenin	0
K12388	SORT1; sortilin	0
K06497	CD63, MLA1; CD63 antigen	0
K01134	ARSA; arylsulfatase A [EC:3.1.6.8]	3
K01135	ARSB; arylsulfatase B [EC:3.1.6.12]	0
K01136	IDS; iduronate 2-sulfatase [EC:3.1.6.13]	1
K01137	GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]	0
K01132	GALNS; N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]	0
K12316	GAA; lysosomal alpha-glucosidase [EC:3.2.1.20]	0
K12311	MAN2B1, LAMAN; lysosomal alpha-mannosidase [EC:3.2.1.24]	0
K06546	CD164, MGC24; CD164 antigen	0
K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]	0
K01158	DNASE2; deoxyribonuclease II [EC:3.1.22.1]	0
K06129	LYPLA3; lysophospholipase III [EC:3.1.1.5]	0
K09600	CTSM; cathepsin M [EC:3.4.22.-]	0
K12309	GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]	0
K01125	NAGPA; N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [EC:3.1.4.45]	0
K12301	SLC17A5; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5	0
K12307	MSFD8, CLN7; MFS transporter, ceroid-lipofuscinosis neuronal protein 7	0
K12305	ENTPD4, LALP70; ectonucleoside triphosphate diphosphohydrolase 4 [EC:3.6.1.6]	0
K08239	GNPTAB; UDP-N-acetylglucosamine-lysosomal-enzyme [EC:2.7.8.17]	0
K06528	LAMP1_2, CD107; lysosomal-associated membrane protein 1/2	0
K05642	ABCA2; ATP-binding cassette, subfamily A (ABC1), member 2	0
K01382	CTSE; cathepsin E [EC:3.4.23.34]	0
K12350	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	0
K01074	PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]	0
K01319	CTSG; cathepsin G [EC:3.4.21.20]	0
K05656	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	0
K04992	MCOLN1; mucolipin 1	0
K01379	CTSD; cathepsin D [EC:3.4.23.5]	0
K01374	CTSO; cathepsin O [EC:3.4.22.42]	0
K01375	CTSL2, CTSV; cathepsin V [EC:3.4.22.43]	0
K01373	CTSF; cathepsin F [EC:3.4.22.41]	0
K01371	CTSK; cathepsin K [EC:3.4.22.38]	0
