COGID	Function	Gene Count
COG2718	Uncharacterized conserved protein	0
COG4871	Uncharacterized protein conserved in archaea	0
COG5015	Uncharacterized conserved protein	0
COG4877	Uncharacterized protein conserved in bacteria	0
COG4876	Uncharacterized protein conserved in bacteria	0
COG4685	Uncharacterized protein conserved in bacteria	0
COG4861	Uncharacterized protein conserved in bacteria	0
COG5395	Predicted membrane protein	0
COG1556	Uncharacterized conserved protein	0
COG4879	Uncharacterized protein conserved in archaea	0
COG4878	Uncharacterized protein conserved in bacteria	0
COG5393	Predicted membrane protein	0
COG1550	Uncharacterized protein conserved in bacteria	0
COG4226	Uncharacterized protein encoded in hypervariable junctions of pilus gene clusters	0
COG3018	Uncharacterized protein conserved in bacteria	0
COG4224	Uncharacterized protein conserved in bacteria	0
COG5389	Uncharacterized protein conserved in bacteria	0
COG4222	Uncharacterized protein conserved in bacteria	0
COG4223	Uncharacterized protein conserved in bacteria	0
COG3878	Uncharacterized protein conserved in bacteria	0
COG3879	Uncharacterized protein conserved in bacteria	0
COG3876	Uncharacterized protein conserved in bacteria	0
COG3877	Uncharacterized protein conserved in bacteria	0
COG3874	Uncharacterized conserved protein	0
COG3875	Uncharacterized conserved protein	0
COG4381	Mu-like prophage protein gp46	0
COG0432	Uncharacterized conserved protein	5
COG3870	Uncharacterized protein conserved in bacteria	0
COG3978	Acetolactate synthase (isozyme II), small (regulatory) subunit	0
COG5402	Uncharacterized conserved protein	0
COG4066	Uncharacterized protein conserved in archaea	0
COG2052	Uncharacterized protein conserved in bacteria	0
COG4549	Uncharacterized protein conserved in bacteria	0
COG2119	Predicted membrane protein	0
COG4815	Uncharacterized protein conserved in bacteria	0
COG4544	Uncharacterized conserved protein	0
COG4541	Predicted membrane protein	0
COG5626	Uncharacterized conserved small protein	0
COG4817	Uncharacterized protein conserved in bacteria	0
COG5321	Uncharacterized protein conserved in bacteria	0
COG1520	FOG: WD40-like repeat	9
COG5463	Predicted integral membrane protein	0
COG2879	Uncharacterized small protein	0
COG1700	Uncharacterized conserved protein	0
COG1701	Uncharacterized protein conserved in archaea	0
COG1255	Uncharacterized protein conserved in archaea	0
COG1704	Uncharacterized conserved protein	0
COG3554	Uncharacterized protein conserved in bacteria	0
COG1259	Uncharacterized conserved protein	0
COG4306	Uncharacterized protein conserved in bacteria	0
COG3506	Uncharacterized conserved protein	0
COG2339	Predicted membrane protein	0
COG2237	Predicted membrane protein	0
COG5304	Uncharacterized protein conserved in bacteria	0
COG4886	Leucine-rich repeat (LRR) protein	0
COG4907	Predicted membrane protein	0
COG4906	Predicted membrane protein	0
COG4905	Predicted membrane protein	0
COG2331	Uncharacterized protein conserved in bacteria	0
COG4902	Uncharacterized protein conserved in archaea	0
COG3371	Predicted membrane protein	0
COG3370	Uncharacterized protein conserved in archaea	0
COG3373	Uncharacterized protein conserved in archaea	0
COG3372	Uncharacterized conserved protein	0
COG3375	Uncharacterized conserved protein	0
COG1909	Uncharacterized protein conserved in archaea	0
COG3377	Uncharacterized conserved protein	0
COG4315	Uncharacterized protein conserved in bacteria	2
COG3270	Uncharacterized conserved protein	0
COG4090	Uncharacterized protein conserved in archaea	0
COG1906	Uncharacterized conserved protein	0
COG3273	Uncharacterized conserved protein	0
COG1900	Uncharacterized conserved protein	0
COG1901	Uncharacterized conserved protein	0
COG3503	Predicted membrane protein	0
COG1416	Uncharacterized conserved protein	0
COG1417	Uncharacterized conserved protein	0
COG1415	Uncharacterized conserved protein	0
COG1799	Uncharacterized protein conserved in bacteria	0
COG3521	Uncharacterized protein conserved in bacteria	0
COG3522	Uncharacterized protein conserved in bacteria	0
COG3523	Uncharacterized protein conserved in bacteria	0
COG1795	Uncharacterized conserved protein	0
COG3124	Uncharacterized protein conserved in bacteria	0
COG5086	Uncharacterized conserved protein	0
COG1791	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0
COG1790	Uncharacterized protein conserved in archaea	0
COG4715	Uncharacterized conserved protein	0
COG3126	Uncharacterized protein conserved in bacteria	0
COG3490	Uncharacterized protein conserved in bacteria	0
COG5138	Uncharacterized conserved protein	0
COG2426	Predicted membrane protein	0
COG2427	Uncharacterized conserved protein	0
COG1774	Uncharacterized homolog of PSP1	0
COG1772	Uncharacterized protein conserved in archaea	0
COG1771	Uncharacterized protein conserved in archaea	0
COG1679	Uncharacterized conserved protein	4
COG3813	Uncharacterized protein conserved in bacteria	0
COG3512	Uncharacterized protein conserved in bacteria	0
COG3117	Uncharacterized protein conserved in bacteria	0
COG3111	Uncharacterized conserved protein	0
COG1673	Uncharacterized protein conserved in archaea	0
COG2428	Uncharacterized conserved protein	0
COG2429	Uncharacterized conserved protein	0
COG4994	Uncharacterized protein conserved in bacteria	0
COG3797	Uncharacterized protein conserved in bacteria	0
COG5375	Uncharacterized protein conserved in bacteria	0
COG4997	Uncharacterized conserved protein	0
COG4990	Uncharacterized protein conserved in bacteria	0
COG4991	Uncharacterized protein with a bacterial SH3 domain homologue	0
COG5276	Uncharacterized conserved protein	0
COG3807	Uncharacterized protein conserved in bacteria	1
COG5482	Uncharacterized conserved protein	0
COG1385	Uncharacterized protein conserved in bacteria	0
COG2343	Uncharacterized protein conserved in bacteria	0
COG2340	Uncharacterized protein with SCP/PR1 domains	0
COG4367	Uncharacterized protein conserved in bacteria	0
COG1839	Uncharacterized conserved protein	0
COG4365	Uncharacterized protein conserved in bacteria	0
COG2975	Uncharacterized protein conserved in bacteria	0
COG2976	Uncharacterized protein conserved in bacteria	0
COG4009	Uncharacterized protein conserved in archaea	0
COG4006	Uncharacterized protein conserved in archaea	0
COG2979	Uncharacterized protein conserved in bacteria	0
COG4004	Uncharacterized protein conserved in archaea	0
COG1833	Uncharacterized conserved protein	0
COG5650	Predicted integral membrane protein	0
COG4003	Uncharacterized protein conserved in archaea	0
COG1836	Predicted membrane protein	0
COG4320	Uncharacterized protein conserved in bacteria	0
COG4127	Uncharacterized conserved protein	0
COG5592	Uncharacterized conserved protein	0
COG5617	Predicted integral membrane protein	0
COG3790	Predicted membrane protein	0
COG4895	Uncharacterized conserved protein	0
COG4129	Predicted membrane protein	0
COG3742	Uncharacterized protein conserved in bacteria	0
COG3743	Uncharacterized conserved protein	0
COG3744	Uncharacterized protein conserved in bacteria	0
COG3657	Uncharacterized protein conserved in bacteria	0
COG3748	Predicted membrane protein	0
COG3749	Uncharacterized protein conserved in bacteria	0
COG4708	Predicted membrane protein	0
COG5416	Uncharacterized integral membrane protein	0
COG5417	Uncharacterized small protein	0
COG2512	Uncharacterized membrane-associated protein/domain	0
COG3068	Uncharacterized protein conserved in bacteria	0
COG2510	Predicted membrane protein	0
COG3181	Uncharacterized protein conserved in bacteria	0
COG4723	Phage-related protein, tail component	0
COG3603	Uncharacterized conserved protein	0
COG3184	Uncharacterized protein conserved in bacteria	0
COG4502	Uncharacterized protein conserved in bacteria	0
COG3189	Uncharacterized conserved protein	0
COG4323	Predicted membrane protein	0
COG1753	Uncharacterized conserved protein	0
COG4729	Uncharacterized conserved protein	0
COG4728	Uncharacterized protein conserved in bacteria	0
COG4836	Predicted membrane protein	0
COG5427	Uncharacterized membrane protein	0
COG5462	Predicted secreted (periplasmic) protein	0
COG5654	Uncharacterized conserved protein	0
COG4307	Uncharacterized protein conserved in bacteria	0
COG3798	Uncharacterized protein conserved in bacteria	0
COG5542	Predicted integral membrane protein	0
COG4357	Uncharacterized conserved protein	0
COG4506	Uncharacterized protein conserved in bacteria	0
COG3832	Uncharacterized conserved protein	0
COG3382	Uncharacterized conserved protein	0
COG3831	Uncharacterized conserved protein	0
COG3384	Uncharacterized conserved protein	0
COG3837	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0
COG3388	Uncharacterized protein conserved in archaea	0
COG3389	Uncharacterized protein conserved in archaea	0
COG5578	Predicted integral membrane protein	0
COG1610	Uncharacterized conserved protein	0
COG5283	Phage-related tail protein	0
COG4269	Predicted membrane protein	0
COG0779	Uncharacterized protein conserved in bacteria	0
COG2155	Uncharacterized conserved protein	0
COG4260	Putative virion core protein (lumpy skin disease virus)	0
COG3930	Uncharacterized protein conserved in bacteria	0
COG3937	Uncharacterized conserved protein	0
COG4267	Predicted membrane protein	0
COG5663	Uncharacterized conserved protein	0
COG2764	Uncharacterized protein conserved in bacteria	0
COG4280	Predicted membrane protein	0
COG4508	Uncharacterized protein conserved in bacteria	0
COG4050	Uncharacterized protein conserved in archaea	0
COG5469	Predicted metal-binding protein	0
COG5468	Predicted secreted (periplasmic) protein	0
COG2013	Uncharacterized conserved protein	0
COG5466	Predicted small metal-binding protein	0
COG4466	Uncharacterized protein conserved in bacteria	0
COG4467	Uncharacterized protein conserved in bacteria	0
COG4460	Uncharacterized protein conserved in bacteria	0
COG4013	Uncharacterized protein conserved in archaea	0
COG5510	Predicted small secreted protein	0
COG2014	Uncharacterized conserved protein	0
COG4852	Predicted membrane protein	0
COG5472	Predicted small integral membrane protein	0
COG4012	Uncharacterized protein conserved in archaea	0
COG5591	Uncharacterized conserved protein	0
COG2606	Uncharacterized conserved protein	0
COG5306	Uncharacterized conserved protein	0
COG2604	Uncharacterized protein conserved in bacteria	0
COG5590	Uncharacterized conserved protein	0
COG4894	Uncharacterized conserved protein	0
COG4764	Uncharacterized protein conserved in bacteria	1
COG2966	Uncharacterized conserved protein	0
COG5572	Predicted integral membrane protein	0
COG5351	Uncharacterized protein conserved in bacteria	0
COG1359	Uncharacterized conserved protein	0
COG4946	Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system	0
COG4944	Uncharacterized protein conserved in bacteria	0
COG5464	Uncharacterized conserved protein	0
COG1354	Uncharacterized conserved protein	5
COG1357	Uncharacterized low-complexity proteins	0
COG1356	Uncharacterized protein conserved in archaea	0
COG1422	Predicted membrane protein	0
COG5282	Uncharacterized conserved protein	0
COG3334	Uncharacterized conserved protein	0
COG3224	Uncharacterized protein conserved in bacteria	0
COG1944	Uncharacterized conserved protein	0
COG1945	Uncharacterized conserved protein	0
COG3333	Uncharacterized protein conserved in bacteria	2
COG3332	Uncharacterized conserved protein	0
COG4825	Uncharacterized membrane-anchored protein conserved in bacteria	0
COG1584	Predicted membrane protein	0
COG3222	Uncharacterized protein conserved in bacteria	0
COG2127	Uncharacterized conserved protein	5
COG1728	Uncharacterized protein conserved in bacteria	0
COG5646	Uncharacterized conserved protein	0
COG2122	Uncharacterized conserved protein	0
COG2121	Uncharacterized protein conserved in bacteria	0
COG2311	Predicted membrane protein	0
COG5281	Phage-related minor tail protein	0
COG3482	Uncharacterized conserved protein	0
COG2128	Uncharacterized conserved protein	0
COG5467	Uncharacterized conserved protein	4
COG1511	Predicted membrane protein	0
COG4539	Predicted membrane protein	0
COG3645	Uncharacterized phage-encoded protein	0
COG3644	Uncharacterized protein conserved in bacteria	0
COG3647	Predicted membrane protein	0
COG3646	Uncharacterized phage-encoded protein	0
COG4760	Predicted membrane protein	0
COG3564	Uncharacterized protein conserved in bacteria	0
COG4185	Uncharacterized protein conserved in bacteria	0
COG3566	Uncharacterized protein conserved in bacteria	0
COG3567	Uncharacterized protein conserved in bacteria	0
COG1633	Uncharacterized conserved protein	0
COG1630	Uncharacterized protein conserved in archaea	0
COG4884	Uncharacterized protein conserved in bacteria	0
COG1636	Uncharacterized protein conserved in bacteria	0
COG5522	Predicted integral membrane protein	0
COG2900	Uncharacterized protein conserved in bacteria	0
COG5280	Phage-related minor tail protein	0
COG2904	Uncharacterized protein conserved in bacteria	0
COG4461	Uncharacterized protein conserved in bacteria, putative lipoprotein	0
COG2302	Uncharacterized conserved protein, contains S4-like domain	0
COG1739	Uncharacterized conserved protein	0
COG1738	Uncharacterized conserved protein	0
COG2307	Uncharacterized protein conserved in bacteria	0
COG2306	Uncharacterized conserved protein	0
COG4697	Uncharacterized protein conserved in archaea	0
COG2461	Uncharacterized conserved protein	0
COG4530	Uncharacterized protein conserved in bacteria	0
COG4016	Uncharacterized protein conserved in archaea	0
COG4696	Uncharacterized protein conserved in bacteria	0
COG4042	Predicted membrane protein	0
COG4043	Uncharacterized conserved protein	0
COG4040	Predicted membrane protein	0
COG4041	Predicted membrane protein	0
COG2268	Uncharacterized protein conserved in bacteria	0
COG3204	Uncharacterized protein conserved in bacteria	0
COG4044	Uncharacterized protein conserved in archaea	0
COG4340	Uncharacterized protein conserved in bacteria	0
COG4899	Uncharacterized protein conserved in bacteria	0
COG4898	Uncharacterized protein conserved in bacteria	0
COG4048	Uncharacterized protein conserved in archaea	0
COG5330	Uncharacterized protein conserved in bacteria	0
COG0599	Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit	8
COG4285	Uncharacterized conserved protein	0
COG3416	Uncharacterized protein conserved in bacteria	0
COG4328	Uncharacterized protein conserved in bacteria	0
COG2839	Uncharacterized protein conserved in bacteria	0
COG5458	Uncharacterized conserved protein	0
COG3412	Uncharacterized protein conserved in bacteria	0
COG4283	Uncharacterized conserved protein	0
COG2835	Uncharacterized conserved protein	0
COG4322	Uncharacterized protein conserved in bacteria	0
COG4084	Uncharacterized protein conserved in archaea	0
COG2836	Uncharacterized conserved protein	0
COG4288	Uncharacterized protein conserved in bacteria	0
COG2830	Uncharacterized protein conserved in bacteria	0
COG2833	Uncharacterized protein conserved in bacteria	0
COG2832	Uncharacterized protein conserved in bacteria	0
COG4648	Predicted membrane protein	0
COG4347	Predicted membrane protein	0
COG3356	Predicted membrane protein	0
COG5473	Predicted integral membrane protein	0
COG3146	Uncharacterized protein conserved in bacteria	5
COG3147	Uncharacterized protein conserved in bacteria	0
COG5339	Uncharacterized protein conserved in bacteria	0
COG3028	Uncharacterized protein conserved in bacteria	0
COG1641	Uncharacterized conserved protein	0
COG3141	Uncharacterized protein conserved in bacteria	0
COG2996	Uncharacterized protein conserved in bacteria	0
COG3024	Uncharacterized protein conserved in bacteria	0
COG3027	Uncharacterized protein conserved in bacteria	0
COG2995	Uncharacterized paraquat-inducible protein A	0
COG3021	Uncharacterized protein conserved in bacteria	0
COG1649	Uncharacterized protein conserved in bacteria	0
COG2991	Uncharacterized protein conserved in bacteria	0
COG4645	Uncharacterized protein conserved in bacteria	0
COG4769	Predicted membrane protein	0
COG5502	Uncharacterized conserved protein	0
COG4640	Predicted membrane protein	0
COG4641	Uncharacterized protein conserved in bacteria	0
COG2419	Uncharacterized conserved protein	0
COG4643	Uncharacterized protein conserved in bacteria	0
COG4763	Predicted membrane protein	0
COG4762	Uncharacterized protein conserved in bacteria	0
COG3350	Uncharacterized conserved protein	0
COG4392	Predicted membrane protein	0
COG2412	Uncharacterized conserved protein	0
COG2411	Uncharacterized conserved protein	0
COG2410	Uncharacterized conserved protein	0
COG4037	Predicted membrane protein	0
COG3216	Uncharacterized protein conserved in bacteria	0
COG4035	Predicted membrane protein	0
COG4034	Uncharacterized protein conserved in archaea	0
COG4033	Uncharacterized protein conserved in archaea	0
COG1844	Uncharacterized protein conserved in archaea	0
COG4030	Uncharacterized protein conserved in archaea	0
COG1849	Uncharacterized protein conserved in archaea	0
COG5649	Uncharacterized conserved protein	0
COG4874	Uncharacterized protein conserved in bacteria containing a pentein-type domain	0
COG3214	Uncharacterized protein conserved in bacteria	0
COG4039	Predicted membrane protein	0
COG4038	Predicted membrane protein	0
COG5323	Uncharacterized conserved protein	0
COG5487	Small integral membrane protein	0
COG5324	Uncharacterized conserved protein	0
COG4393	Predicted membrane protein	0
COG4081	Uncharacterized protein conserved in archaea	0
COG3037	Uncharacterized protein conserved in bacteria	0
COG4402	Uncharacterized protein conserved in bacteria	0
COG4422	Bacteriophage protein gp37	0
COG4423	Uncharacterized protein conserved in bacteria	0
COG4083	Predicted membrane protein	0
COG4425	Predicted membrane protein	0
COG4427	Uncharacterized protein conserved in bacteria	0
COG4947	Uncharacterized protein conserved in bacteria	0
COG5429	Uncharacterized secreted protein	0
COG4881	Predicted membrane protein	0
COG5460	Uncharacterized conserved protein	0
COG3739	Uncharacterized integral membrane protein	0
COG3738	Uncharacterized protein conserved in bacteria	0
COG3758	Uncharacterized protein conserved in bacteria	0
COG4390	Uncharacterized protein conserved in bacteria	0
COG3735	Uncharacterized protein conserved in bacteria	0
COG3737	Uncharacterized conserved protein	0
COG4911	Uncharacterized conserved protein	0
COG4255	Uncharacterized protein conserved in bacteria	0
COG5639	Uncharacterized conserved small protein	0
COG3422	Uncharacterized conserved protein	0
COG4046	Uncharacterized protein conserved in archaea	0
COG1426	Uncharacterized protein conserved in bacteria	0
COG4405	Uncharacterized protein conserved in bacteria	0
COG4949	Uncharacterized membrane-anchored protein conserved in bacteria	0
COG4860	Uncharacterized protein conserved in archaea	0
COG4278	Uncharacterized conserved protein	0
COG5388	Uncharacterized protein conserved in bacteria	0
COG4863	Uncharacterized protein conserved in bacteria	0
COG0011	Uncharacterized conserved protein	0
COG4866	Uncharacterized conserved protein	0
COG4868	Uncharacterized protein conserved in bacteria	0
COG5368	Uncharacterized protein conserved in bacteria	0
COG5177	Uncharacterized conserved protein	0
COG1547	Uncharacterized conserved protein	0
COG5528	Predicted integral membrane protein	0
COG1542	Uncharacterized conserved protein	0
COG1543	Uncharacterized conserved protein	0
COG4253	Uncharacterized protein conserved in bacteria	0
COG5637	Predicted integral membrane protein	0
COG3809	Uncharacterized protein conserved in bacteria	0
COG4399	Uncharacterized protein conserved in bacteria	0
COG4864	Uncharacterized protein conserved in bacteria	8
COG0398	Uncharacterized conserved protein	0
COG4254	Uncharacterized protein conserved in bacteria	0
COG3803	Uncharacterized protein conserved in bacteria	0
COG0397	Uncharacterized conserved protein	9
COG3801	Uncharacterized protein conserved in bacteria	0
COG4391	Uncharacterized protein conserved in bacteria	3
COG0392	Predicted integral membrane protein	0
COG0393	Uncharacterized conserved protein	0
COG4394	Uncharacterized protein conserved in bacteria	0
COG0391	Uncharacterized conserved protein	3
COG4495	Uncharacterized protein conserved in bacteria	0
COG4496	Uncharacterized protein conserved in bacteria	0
COG3601	Predicted membrane protein	0
COG3600	Uncharacterized phage-associated protein	0
COG2042	Uncharacterized conserved protein	0
COG2043	Uncharacterized protein conserved in archaea	0
COG4499	Predicted membrane protein	0
COG5587	Uncharacterized conserved protein	0
COG2164	Uncharacterized conserved protein	0
COG4634	Uncharacterized protein conserved in bacteria	0
COG3366	Uncharacterized protein conserved in archaea	0
COG4343	Uncharacterized protein conserved in archaea	0
COG3336	Predicted membrane protein	0
COG2739	Uncharacterized protein conserved in bacteria	0
COG4828	Predicted membrane protein	0
COG4739	Uncharacterized protein containing a ferredoxin domain	0
COG2733	Predicted membrane protein	0
COG3330	Uncharacterized protein conserved in bacteria	0
COG1306	Uncharacterized conserved protein	0
COG1307	Uncharacterized protein conserved in bacteria	0
COG1302	Uncharacterized protein conserved in bacteria	0
COG1303	Uncharacterized protein conserved in archaea	0
COG1300	Uncharacterized membrane protein	0
COG4694	Uncharacterized protein conserved in bacteria	0
COG5526	Uncharacterized conserved protein	0
COG4699	Uncharacterized protein conserved in bacteria	0
COG4698	Uncharacterized protein conserved in bacteria	0
COG1262	Uncharacterized conserved protein	0
COG4086	Predicted secreted protein	0
COG4241	Predicted membrane protein	0
COG3247	Uncharacterized conserved protein	0
COG3246	Uncharacterized conserved protein	1
COG4918	Uncharacterized protein conserved in bacteria	0
COG3360	Uncharacterized conserved protein	0
COG3242	Uncharacterized protein conserved in bacteria	0
COG5399	Uncharacterized protein conserved in archaea	0
COG4916	Uncharacterized protein containing a TIR (Toll-Interleukin 1-resistance) domain	0
COG3249	Uncharacterized protein conserved in bacteria	0
COG3760	Uncharacterized conserved protein	0
COG4089	Predicted membrane protein	0
COG1939	Uncharacterized protein conserved in bacteria	0
COG4295	Uncharacterized protein conserved in bacteria	0
COG5514	Uncharacterized conserved protein	0
COG4875	Uncharacterized protein conserved in bacteria with a cystatin-like fold	0
COG3369	Uncharacterized conserved protein	0
COG1931	Uncharacterized protein conserved in archaea	0
COG3339	Uncharacterized conserved protein	0
COG3365	Uncharacterized protein conserved in archaea	0
COG1935	Uncharacterized conserved protein	0
COG1934	Uncharacterized protein conserved in bacteria	0
COG1937	Uncharacterized protein conserved in bacteria	3
COG3361	Uncharacterized conserved protein	0
COG4338	Uncharacterized protein conserved in bacteria	0
COG3513	Uncharacterized protein conserved in bacteria	0
COG1460	Uncharacterized protein conserved in archaea	0
COG3515	Uncharacterized protein conserved in bacteria	0
COG3514	Uncharacterized protein conserved in bacteria	0
COG3517	Uncharacterized protein conserved in bacteria	0
COG3516	Uncharacterized protein conserved in bacteria	0
COG3519	Uncharacterized protein conserved in bacteria	1
COG3518	Uncharacterized protein conserved in bacteria	0
COG1469	Uncharacterized conserved protein	0
COG3453	Uncharacterized protein conserved in bacteria	1
COG1786	Uncharacterized conserved protein	0
COG3455	Uncharacterized protein conserved in bacteria	1
COG1784	Predicted membrane protein	0
COG4921	Uncharacterized protein conserved in archaea	0
COG5352	Uncharacterized protein conserved in bacteria	0
COG4700	Uncharacterized protein conserved in bacteria containing a divergent form of TPR repeats	0
COG3802	Uncharacterized protein conserved in bacteria	0
COG5506	Uncharacterized conserved protein	0
COG5563	Predicted integral membrane proteins containing uncharacterized repeats	0
COG2899	Uncharacterized protein conserved in bacteria	0
COG2450	Uncharacterized conserved protein	0
COG2457	Uncharacterized conserved protein	0
COG2456	Uncharacterized conserved protein	0
COG2454	Uncharacterized conserved protein	0
COG3102	Uncharacterized protein conserved in bacteria	0
COG2892	Uncharacterized protein conserved in archaea	0
COG3100	Uncharacterized protein conserved in bacteria	0
COG3101	Uncharacterized protein conserved in bacteria	0
COG3105	Uncharacterized protein conserved in bacteria	0
COG1806	Uncharacterized protein conserved in bacteria	0
COG1801	Uncharacterized conserved protein	2
COG2359	Uncharacterized protein conserved in bacteria	0
COG3132	Uncharacterized protein conserved in bacteria	0
COG2354	Uncharacterized protein conserved in bacteria	0
COG5202	Predicted membrane protein	0
COG2357	Uncharacterized protein conserved in bacteria	0
COG2350	Uncharacterized protein conserved in bacteria	0
COG1808	Predicted membrane protein	0
COG2353	Uncharacterized conserved protein	5
COG4374	Uncharacterized protein conserved in bacteria	0
COG4709	Predicted membrane protein	1
COG4079	Uncharacterized protein conserved in archaea	0
COG4078	Predicted membrane protein	0
COG2949	Uncharacterized membrane protein	0
COG4371	Predicted membrane protein	0
COG2860	Predicted membrane protein	2
COG2861	Uncharacterized protein conserved in bacteria	0
COG4073	Uncharacterized protein conserved in archaea	0
COG4072	Uncharacterized protein conserved in archaea	0
COG2947	Uncharacterized conserved protein	1
COG5305	Predicted membrane protein	0
COG4077	Uncharacterized protein conserved in archaea	0
COG4075	Uncharacterized conserved protein, homolog of nitrogen regulatory protein PII	0
COG5166	Uncharacterized conserved protein	0
COG5369	Uncharacterized conserved protein	0
COG2090	Uncharacterized protein conserved in archaea	0
COG2096	Uncharacterized conserved protein	0
COG5011	Uncharacterized protein conserved in bacteria	0
COG2098	Uncharacterized protein conserved in archaea	0
COG3827	Uncharacterized protein conserved in bacteria	0
COG5509	Uncharacterized small protein containing a coiled-coil domain	0
COG3076	Uncharacterized protein conserved in bacteria	0
COG3074	Uncharacterized protein conserved in bacteria	0
COG3826	Uncharacterized protein conserved in bacteria	0
COG3779	Uncharacterized protein conserved in bacteria	0
COG3778	Uncharacterized protein conserved in bacteria	0
COG4384	Mu-like prophage protein gp45	0
COG3821	Predicted membrane protein	0
COG3777	Uncharacterized conserved protein	0
COG3776	Predicted membrane protein	0
COG3771	Predicted membrane protein	0
COG4387	Mu-like prophage protein gp36	0
COG3078	Uncharacterized protein conserved in bacteria	0
COG3079	Uncharacterized protein conserved in bacteria	0
COG4735	Uncharacterized protein conserved in bacteria	0
COG1285	Uncharacterized membrane protein	0
COG1284	Uncharacterized conserved protein	0
COG5513	Predicted secreted protein	0
COG4731	Uncharacterized protein conserved in bacteria	0
COG4732	Predicted membrane protein	0
COG4733	Phage-related protein, tail component	0
COG3177	Uncharacterized conserved protein	0
COG3174	Predicted membrane protein	0
COG4116	Uncharacterized protein conserved in bacteria	0
COG1289	Predicted membrane protein	0
COG1288	Predicted membrane protein	0
COG4104	Uncharacterized conserved protein	0
COG4103	Uncharacterized protein conserved in bacteria	0
COG4102	Uncharacterized protein conserved in bacteria	1
COG4716	Myosin-crossreactive antigen	0
COG5608	Conserved secreted protein	0
COG4325	Predicted membrane protein	0
COG4382	Mu-like prophage protein gp16	0
COG5636	Uncharacterized conserved protein, contains Zn-ribbon-like motif	0
COG4383	Mu-like prophage protein gp29	0
COG5629	Predicted metal-binding protein	0
COG4841	Uncharacterized protein conserved in bacteria	0
COG4318	Uncharacterized protein conserved in bacteria	0
COG5106	Uncharacterized conserved protein	0
COG4538	Uncharacterized conserved protein	0
COG5523	Predicted integral membrane protein	0
COG5454	Predicted secreted protein	0
COG3828	Uncharacterized protein conserved in bacteria	0
COG4672	Phage-related protein	0
COG4924	Uncharacterized protein conserved in bacteria	0
COG4517	Uncharacterized protein conserved in bacteria	2
COG4518	Mu-like prophage FluMu protein gp41	0
